Tempo,Corpos,Cores,Movimento,Nucleos
0.362278, 400 ,2, 100,Dois
0.398919, 400 ,2, 100,Dois
0.407685, 400 ,2, 100,Dois
0.345136, 400 ,2, 100,Dois
0.399156, 400 ,2, 100,Dois
0.403907, 400 ,2, 100,Dois
0.393676, 400 ,2, 100,Dois
0.400308, 400 ,2, 100,Dois
0.345831, 400 ,2, 100,Dois
0.388349, 400 ,2, 100,Dois
0.406072, 400 ,2, 100,Dois
0.398411, 400 ,2, 100,Dois
0.382516, 400 ,2, 100,Dois
0.345102, 400 ,2, 100,Dois
0.385121, 400 ,2, 100,Dois
0.346034, 400 ,2, 100,Dois
0.344824, 400 ,2, 100,Dois
0.416181, 400 ,2, 100,Dois
0.396705, 400 ,2, 100,Dois
0.392191, 400 ,2, 100,Dois
0.341159, 400 ,2, 100,Dois
0.38599, 400 ,2, 100,Dois
0.40678, 400 ,2, 100,Dois
0.392253, 400 ,2, 100,Dois
0.385675, 400 ,2, 100,Dois
0.394306, 400 ,2, 100,Dois
0.340043, 400 ,2, 100,Dois
0.39563, 400 ,2, 100,Dois
0.392844, 400 ,2, 100,Dois
0.407598, 400 ,2, 100,Dois
0.403976, 400 ,2, 100,Dois
0.399722, 400 ,2, 100,Dois
0.344451, 400 ,2, 100,Dois
0.481573, 500 ,2, 100,Dois
0.486941, 500 ,2, 100,Dois
0.478043, 500 ,2, 100,Dois
0.510665, 500 ,2, 100,Dois
0.426823, 500 ,2, 100,Dois
0.480638, 500 ,2, 100,Dois
0.511312, 500 ,2, 100,Dois
0.490623, 500 ,2, 100,Dois
0.493024, 500 ,2, 100,Dois
0.470623, 500 ,2, 100,Dois
0.497609, 500 ,2, 100,Dois
0.422948, 500 ,2, 100,Dois
0.488937, 500 ,2, 100,Dois
0.480918, 500 ,2, 100,Dois
0.494622, 500 ,2, 100,Dois
0.405212, 500 ,2, 100,Dois
0.500551, 500 ,2, 100,Dois
0.478147, 500 ,2, 100,Dois
0.48739, 500 ,2, 100,Dois
0.426972, 500 ,2, 100,Dois
0.421451, 500 ,2, 100,Dois
0.424804, 500 ,2, 100,Dois
0.493593, 500 ,2, 100,Dois
0.478233, 500 ,2, 100,Dois
0.428229, 500 ,2, 100,Dois
0.506657, 500 ,2, 100,Dois
0.420415, 500 ,2, 100,Dois
0.477181, 500 ,2, 100,Dois
0.47673, 500 ,2, 100,Dois
0.48761, 500 ,2, 100,Dois
0.479211, 500 ,2, 100,Dois
0.50004, 500 ,2, 100,Dois
0.501473, 500 ,2, 100,Dois
0.421291, 500 ,2, 100,Dois
0.47342, 500 ,2, 100,Dois
0.472972, 500 ,2, 100,Dois
0.467674, 500 ,2, 100,Dois
0.488306, 500 ,2, 100,Dois
0.480423, 500 ,2, 100,Dois
0.476935, 500 ,2, 100,Dois
0.49357, 500 ,2, 100,Dois
0.477615, 500 ,2, 100,Dois
0.454204, 500 ,2, 100,Dois
0.473956, 500 ,2, 100,Dois
0.491647, 500 ,2, 100,Dois
0.414995, 500 ,2, 100,Dois
0.424096, 500 ,2, 100,Dois
0.477415, 500 ,2, 100,Dois
0.482343, 500 ,2, 100,Dois
0.42796, 500 ,2, 100,Dois
0.567655, 600 ,2, 100,Dois
0.502435, 600 ,2, 100,Dois
0.506022, 600 ,2, 100,Dois
0.491985, 600 ,2, 100,Dois
0.589762, 600 ,2, 100,Dois
0.558856, 600 ,2, 100,Dois
0.572366, 600 ,2, 100,Dois
0.591326, 600 ,2, 100,Dois
0.58635, 600 ,2, 100,Dois
0.555191, 600 ,2, 100,Dois
0.563292, 600 ,2, 100,Dois
0.576958, 600 ,2, 100,Dois
0.507968, 600 ,2, 100,Dois
0.584023, 600 ,2, 100,Dois
0.509092, 600 ,2, 100,Dois
0.611955, 600 ,2, 100,Dois
0.513479, 600 ,2, 100,Dois
0.565424, 600 ,2, 100,Dois
0.561445, 600 ,2, 100,Dois
0.584065, 600 ,2, 100,Dois
0.565032, 600 ,2, 100,Dois
0.589758, 600 ,2, 100,Dois
0.519347, 600 ,2, 100,Dois
0.518121, 600 ,2, 100,Dois
0.569847, 600 ,2, 100,Dois
0.551629, 600 ,2, 100,Dois
0.581648, 600 ,2, 100,Dois
0.589408, 600 ,2, 100,Dois
0.564004, 600 ,2, 100,Dois
0.565633, 600 ,2, 100,Dois
0.558387, 600 ,2, 100,Dois
0.587582, 600 ,2, 100,Dois
0.583919, 600 ,2, 100,Dois
0.484127, 600 ,2, 100,Dois
0.562558, 600 ,2, 100,Dois
0.57732, 600 ,2, 100,Dois
0.571862, 600 ,2, 100,Dois
0.572697, 600 ,2, 100,Dois
0.563637, 600 ,2, 100,Dois
0.483529, 600 ,2, 100,Dois
0.513819, 600 ,2, 100,Dois
0.584134, 600 ,2, 100,Dois
0.587492, 600 ,2, 100,Dois
0.509459, 600 ,2, 100,Dois
0.582224, 600 ,2, 100,Dois
0.579505, 600 ,2, 100,Dois
0.564943, 600 ,2, 100,Dois
0.505715, 600 ,2, 100,Dois
0.576587, 600 ,2, 100,Dois
0.501316, 600 ,2, 100,Dois
0.095544, 100 ,4, 100,Quatro
0.089173, 100 ,4, 100,Quatro
0.086201, 100 ,4, 100,Quatro
0.084309, 100 ,4, 100,Quatro
0.076657, 100 ,4, 100,Quatro
0.088381, 100 ,4, 100,Quatro
0.080448, 100 ,4, 100,Quatro
0.08743, 100 ,4, 100,Quatro
0.085394, 100 ,4, 100,Quatro
0.089091, 100 ,4, 100,Quatro
0.086209, 100 ,4, 100,Quatro
0.088194, 100 ,4, 100,Quatro
0.084099, 100 ,4, 100,Quatro
0.090613, 100 ,4, 100,Quatro
0.090824, 100 ,4, 100,Quatro
0.086053, 100 ,4, 100,Quatro
0.084364, 100 ,4, 100,Quatro
0.088213, 100 ,4, 100,Quatro
0.086092, 100 ,4, 100,Quatro
0.085379, 100 ,4, 100,Quatro
0.09585, 100 ,4, 100,Quatro
0.083254, 100 ,4, 100,Quatro
0.084617, 100 ,4, 100,Quatro
0.08775, 100 ,4, 100,Quatro
0.094151, 100 ,4, 100,Quatro
0.093276, 100 ,4, 100,Quatro
0.08579, 100 ,4, 100,Quatro
0.086492, 100 ,4, 100,Quatro
0.078404, 100 ,4, 100,Quatro
0.083347, 100 ,4, 100,Quatro
0.086722, 100 ,4, 100,Quatro
0.087651, 100 ,4, 100,Quatro
0.087849, 100 ,4, 100,Quatro
0.080683, 100 ,4, 100,Quatro
0.080708, 100 ,4, 100,Quatro
0.081108, 100 ,4, 100,Quatro
0.085156, 100 ,4, 100,Quatro
0.090569, 100 ,4, 100,Quatro
0.08937, 100 ,4, 100,Quatro
0.088672, 100 ,4, 100,Quatro
0.084355, 100 ,4, 100,Quatro
0.092789, 100 ,4, 100,Quatro
0.092251, 100 ,4, 100,Quatro
0.091064, 100 ,4, 100,Quatro
0.088055, 100 ,4, 100,Quatro
0.084037, 100 ,4, 100,Quatro
0.082984, 100 ,4, 100,Quatro
0.095017, 100 ,4, 100,Quatro
0.083408, 100 ,4, 100,Quatro
0.089313, 100 ,4, 100,Quatro
0.149279, 200 ,4, 100,Quatro
0.138215, 200 ,4, 100,Quatro
0.144172, 200 ,4, 100,Quatro
0.140958, 200 ,4, 100,Quatro
0.154761, 200 ,4, 100,Quatro
0.146782, 200 ,4, 100,Quatro
0.148501, 200 ,4, 100,Quatro
0.149795, 200 ,4, 100,Quatro
0.14242, 200 ,4, 100,Quatro
0.14453, 200 ,4, 100,Quatro
