Tempo,Corpos,Cores,Movimento,Complexidade
26.181333, 600, 1, 100,Quadratico
26.154124, 600, 1, 100,Quadratico
26.328774, 600, 1, 100,Quadratico
26.202906, 600, 1, 100,Quadratico
26.13716, 600, 1, 100,Quadratico
26.221281, 600, 1, 100,Quadratico
26.176437, 600, 1, 100,Quadratico
26.203189, 600, 1, 100,Quadratico
26.215954, 600, 1, 100,Quadratico
26.264485, 600, 1, 100,Quadratico
26.309958, 600, 1, 100,Quadratico
26.189297, 600, 1, 100,Quadratico
26.161833, 600, 1, 100,Quadratico
26.138707, 600, 1, 100,Quadratico
30.588966, 600, 1, 100,Quadratico
26.298668, 600, 1, 100,Quadratico
26.20405, 600, 1, 100,Quadratico
26.60432, 600, 1, 100,Quadratico
26.18035, 600, 1, 100,Quadratico
26.17456, 600, 1, 100,Quadratico
26.253839, 600, 1, 100,Quadratico
26.12532, 600, 1, 100,Quadratico
26.274117, 600, 1, 100,Quadratico
26.197129, 600, 1, 100,Quadratico
26.163607, 600, 1, 100,Quadratico
26.212013, 600, 1, 100,Quadratico
26.223714, 600, 1, 100,Quadratico
26.194221, 600, 1, 100,Quadratico
26.185357, 600, 1, 100,Quadratico
26.173081, 600, 1, 100,Quadratico
26.212717, 600, 1, 100,Quadratico
26.197011, 600, 1, 100,Quadratico
26.170009, 600, 1, 100,Quadratico
26.163407, 600, 1, 100,Quadratico
26.249944, 600, 1, 100,Quadratico
26.215801, 600, 1, 100,Quadratico
28.696816, 600, 1, 100,Quadratico
26.163951, 600, 1, 100,Quadratico
26.342733, 600, 1, 100,Quadratico
26.26211, 600, 1, 100,Quadratico
26.138869, 600, 1, 100,Quadratico
26.138869, 600, 1, 100,Quadratico
0.829829, 600, 1, 100,Barnes-Hut
0.901714, 600, 1, 100,Barnes-Hut
0.832041, 600, 1, 100,Barnes-Hut
0.896533, 600, 1, 100,Barnes-Hut
0.866375, 600, 1, 100,Barnes-Hut
0.827621, 600, 1, 100,Barnes-Hut
0.872185, 600, 1, 100,Barnes-Hut
0.860316, 600, 1, 100,Barnes-Hut
0.861646, 600, 1, 100,Barnes-Hut
0.830971, 600, 1, 100,Barnes-Hut
0.865638, 600, 1, 100,Barnes-Hut
0.872665, 600, 1, 100,Barnes-Hut
0.844743, 600, 1, 100,Barnes-Hut
0.853434, 600, 1, 100,Barnes-Hut
0.860028, 600, 1, 100,Barnes-Hut
0.85247, 600, 1, 100,Barnes-Hut
0.83957, 600, 1, 100,Barnes-Hut
0.838673, 600, 1, 100,Barnes-Hut
0.837685, 600, 1, 100,Barnes-Hut
0.8565, 600, 1, 100,Barnes-Hut
0.843501, 600, 1, 100,Barnes-Hut
0.874096, 600, 1, 100,Barnes-Hut
0.829075, 600, 1, 100,Barnes-Hut
0.82539, 600, 1, 100,Barnes-Hut
0.858897, 600, 1, 100,Barnes-Hut
0.859792, 600, 1, 100,Barnes-Hut
0.826104, 600, 1, 100,Barnes-Hut
0.850969, 600, 1, 100,Barnes-Hut
0.876298, 600, 1, 100,Barnes-Hut
0.820055, 600, 1, 100,Barnes-Hut
0.849971, 600, 1, 100,Barnes-Hut
0.872235, 600, 1, 100,Barnes-Hut
0.895325, 600, 1, 100,Barnes-Hut
0.848862, 600, 1, 100,Barnes-Hut
0.823302, 600, 1, 100,Barnes-Hut
0.86136, 600, 1, 100,Barnes-Hut
0.845685, 600, 1, 100,Barnes-Hut
0.806659, 600, 1, 100,Barnes-Hut
0.849673, 600, 1, 100,Barnes-Hut
0.852734, 600, 1, 100,Barnes-Hut
0.855546, 600, 1, 100,Barnes-Hut
0.836105, 600, 1, 100,Barnes-Hut
0.859764, 600, 1, 100,Barnes-Hut
0.833802, 600, 1, 100,Barnes-Hut
0.827576, 600, 1, 100,Barnes-Hut
0.845355, 600, 1, 100,Barnes-Hut
0.834842, 600, 1, 100,Barnes-Hut
0.832217, 600, 1, 100,Barnes-Hut
0.862512, 600, 1, 100,Barnes-Hut
0.82425, 600, 1, 100,Barnes-Hut
0.829829, 600, 1, 100,Barnes-Hut
0.901714, 600, 1, 100,Barnes-Hut
0.832041, 600, 1, 100,Barnes-Hut
0.896533, 600, 1, 100,Barnes-Hut
